                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1907,                 3.1639,                   1.76,                0.36309,                 0.5165,                0.40096,                0.19593,                 1.8035,                 2.5505,                 1.5764,             0.00021435,             0.00021435,             0.00021435
                      2,                 1.9271,                 1.7717,                  1.586,                 0.4749,                 0.5165,                0.41723,                0.22417,                 1.8123,                 3.1586,                 1.5608,              0.0004386,              0.0004386,              0.0004386
                      3,                   1.79,                 1.4959,                  1.443,                0.39793,                0.46608,                0.35667,                0.14648,                 2.0892,                  2.375,                 1.7508,             0.00065833,             0.00065833,             0.00065833
                      4,                 1.8172,                 1.4593,                 1.4284,                 0.4613,                0.62663,                0.48588,                 0.2196,                 2.0446,                 2.1456,                 1.6541,             0.00087353,             0.00087353,             0.00087353
                      5,                 1.7717,                 1.3931,                 1.3836,                0.69291,                0.22424,                 0.2316,                0.10155,                 1.9632,                 3.3293,                 1.5432,              0.0010842,              0.0010842,              0.0010842
                      6,                 1.7575,                 1.4055,                 1.3628,                 0.3504,                 0.5057,                0.32477,                0.15392,                 1.9094,                 2.5092,                 1.6108,              0.0012904,              0.0012904,              0.0012904
                      7,                  1.753,                 1.3999,                 1.3939,                0.47732,                0.42638,                0.28103,                0.12506,                 1.8854,                 2.1419,                 1.6337,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.8153,                 1.3607,                 1.4052,                0.39937,                 0.4835,                0.33587,                0.14719,                 1.9474,                 2.7606,                 1.6583,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.7517,                 1.2609,                 1.3608,                0.39577,                0.46219,                0.32442,                0.15164,                 1.9033,                  1.897,                 1.4884,                0.00133,                0.00133,                0.00133
                     10,                 1.6796,                 1.2125,                 1.3315,                0.35456,                0.40383,                0.29843,                0.13688,                 1.9363,                 1.6588,                 1.5493,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.6456,                 1.1647,                 1.3108,                0.46707,                0.45793,                0.35078,                0.15291,                  1.915,                 1.7909,                 1.5793,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.6338,                 1.1362,                 1.3026,                0.56823,                0.58016,                0.48042,                0.21573,                 1.8037,                 1.6933,                 1.4548,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.6447,                 1.1374,                 1.3136,                0.45229,                0.62914,                0.41439,                0.20254,                 1.8249,                 1.8217,                 1.5304,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.6375,                 1.1421,                  1.286,                0.63838,                0.54472,                0.50326,                0.22242,                 1.8468,                 1.4326,                  1.488,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.5524,                 1.0471,                 1.2297,                0.53413,                 0.5816,                0.41013,                0.21039,                 1.8925,                 1.4194,                 1.5645,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.5675,                 1.0494,                 1.2387,                0.41953,                0.55187,                0.36701,                0.16779,                 1.8296,                  1.508,                 1.4479,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.5301,                0.99971,                 1.2286,                0.45749,                0.73696,                0.56325,                0.27745,                 1.7151,                 1.3148,                  1.383,              0.0012168,              0.0012168,              0.0012168
                     18,                  1.475,                0.98058,                 1.2215,                0.56234,                0.62414,                0.52712,                 0.2681,                 1.8879,                 1.3775,                 1.5686,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.4587,                0.98982,                 1.2066,                0.65149,                0.48472,                 0.5343,                0.28623,                 1.8383,                 1.3047,                 1.4572,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.5136,                0.99769,                 1.2379,                0.63044,                0.59084,                0.55255,                0.30522,                 1.8731,                 1.3463,                 1.4883,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.4917,                0.95557,                 1.2269,                0.46788,                0.52873,                0.43795,                0.21691,                 1.9177,                 1.3852,                 1.5199,              0.0011602,              0.0011602,              0.0011602
                     22,                  1.531,                 0.9841,                 1.2292,                 0.8144,                0.45548,                0.60077,                0.32184,                  1.871,                 1.4168,                 1.4779,              0.0011461,              0.0011461,              0.0011461
